iter	MultiClass
0	2.685917439
1	2.076548065
2	1.526798889
3	1.053313351
4	0.7576386
5	0.6255939032
6	0.5376229358
7	0.4947877605
8	0.4673410209
9	0.443135551
10	0.4168796131
11	0.4071853343
12	0.3881001597
13	0.3691220745
14	0.3496772347
15	0.3458566673
16	0.3384361253
17	0.3357736916
18	0.3323279299
19	0.3256411272
20	0.3213535864
21	0.3179553961
22	0.3145460999
23	0.3114492396
24	0.3092489269
25	0.3065908603
26	0.3051931704
27	0.3029800339
28	0.3013507335
29	0.2995630974
30	0.2979027884
31	0.2853808402
32	0.2797937392
33	0.2776327753
34	0.2763433036
35	0.2752650963
36	0.2718174861
37	0.2711138774
38	0.2625634601
39	0.2613410007
40	0.2603982421
41	0.259904457
42	0.259195956
43	0.2551887282
44	0.2529802088
45	0.2519482693
46	0.2511711647
47	0.2503065976
48	0.249148743
49	0.2484042168
50	0.2464231423
51	0.2455636676
52	0.2445463893
53	0.2439654227
54	0.2372404335
55	0.2365016234
56	0.2359275985
57	0.2350940207
58	0.2348284439
59	0.234411337
60	0.2316749425
61	0.2311563208
62	0.2308227265
63	0.2297075735
64	0.2291838965
65	0.2285560888
66	0.2283277516
67	0.2278106643
68	0.227291877
69	0.2268799249
70	0.2263333307
71	0.2258255792
72	0.2173230106
73	0.2167807479
74	0.2162606143
75	0.2159314664
76	0.2156034663
77	0.2149948717
78	0.2146700824
79	0.2142672816
80	0.2137390388
81	0.2133003329
82	0.2127985596
83	0.2118103601
84	0.2113144881
85	0.2110837878
86	0.2108155157
87	0.2100318289
88	0.2096447892
89	0.2067923328
90	0.2064316913
91	0.2061210879
92	0.2057384414
93	0.20528939
94	0.2050379801
95	0.2048137862
96	0.204613269
97	0.2043060508
98	0.2039931361
99	0.203222776
