iter	Passed	Remaining
0	1662	164585
1	3263	159935
2	4819	155814
3	6433	154399
4	8318	158058
5	10084	157992
6	12041	159984
7	13927	160161
8	15740	159154
9	17507	157569
10	19419	157124
11	21191	155401
12	23104	154620
13	24884	152858
14	26785	151787
15	28433	149276
16	30096	146939
17	31646	144169
18	33371	142268
19	35090	140360
20	37112	139612
21	38733	137328
22	40316	134972
23	42214	133680
24	44067	132202
25	45942	130760
26	47712	128999
27	49704	127810
28	51375	125781
29	53155	124029
30	55037	122502
31	57028	121185
32	59070	119931
33	61037	118484
34	62939	116887
35	64929	115430
36	66841	113811
37	68803	112257
38	70802	110742
39	72711	109066
40	74590	107337
41	76394	105496
42	78344	103852
43	80213	102090
44	82070	100308
45	83930	98527
46	85877	96840
47	87822	95141
48	89554	93210
49	91408	91408
50	93443	89779
51	95363	88027
52	97360	86338
53	99303	84591
54	101152	82761
55	103121	81024
56	104998	79209
57	107014	77493
58	108807	75611
59	110463	73642
60	112233	71756
61	113883	69799
62	115605	67895
63	117256	65956
64	118854	63998
65	120459	62054
66	122216	60196
67	123863	58288
68	125642	56447
69	127706	54731
70	129770	53004
71	131821	51263
72	133776	49478
73	135981	47777
74	138063	46021
75	140095	44240
76	142008	42418
77	144142	40655
78	146042	38821
79	147957	36989
80	149834	35146
81	151726	33305
82	153546	31449
83	155410	29601
84	157417	27779
85	159391	25947
86	161209	24088
87	162870	22209
88	164551	20337
89	166101	18455
90	167657	16581
91	169216	14714
92	170836	12858
93	172394	11003
94	174023	9159
95	175662	7319
96	177249	5481
97	178873	3650
98	180590	1824
99	182433	0
